name	pocet	procent	iczuj	kandidatu
krcm	6	0.125	585343.tsv	48
zamisk	6	0.2222222222222222	556084.tsv	27
slezak	6	0.16666666666666666	555266.tsv	36
becak	6	0.1	552577.tsv	60
springer	6	0.09523809523809523	584835.tsv	63
dvorak	5	0.05555555555555555	593001.tsv	90
hal	5	0.08333333333333333	592994.tsv	60
rih	5	0.18518518518518517	592854.tsv	27
osick	5	0.1111111111111111	584983.tsv	45
zogat	5	0.06666666666666667	511935.tsv	75
svobod	5	0.17857142857142858	584924.tsv	28
vavr	5	0.05555555555555555	596884.tsv	90
lich	5	0.1388888888888889	512907.tsv	36
dvoulet	5	0.06666666666666667	592412.tsv	75
konig	5	0.1111111111111111	512923.tsv	45
studnick	5	0.07936507936507936	515191.tsv	63
kincl	5	0.07936507936507936	531782.tsv	63
kundel	5	0.05555555555555555	596116.tsv	90
sebest	5	0.06666666666666667	584347.tsv	75
pokorn	5	0.09090909090909091	582948.tsv	55
pospisil	5	0.058823529411764705	582646.tsv	85
marek	5	0.05555555555555555	541648.tsv	90
ondic	5	0.20833333333333334	541681.tsv	24
sekanin	5	0.20833333333333334	582409.tsv	24
musil	5	0.058823529411764705	582239.tsv	85
sedlak	5	0.06666666666666667	582182.tsv	75
zil	5	0.05555555555555555	582158.tsv	90
tich	5	0.08333333333333333	582131.tsv	60
filak	5	0.06097560975609756	542644.tsv	82
halik	5	0.06666666666666667	592056.tsv	75
manak	5	0.08333333333333333	542784.tsv	60
pavlic	5	0.1111111111111111	542814.tsv	45
svobod	5	0.11627906976744186	591459.tsv	43
suchacek	5	0.125	543098.tsv	40
sykor	5	0.1388888888888889	590584.tsv	36
diblik	5	0.08620689655172414	580961.tsv	58
faltus	5	0.07936507936507936	580571.tsv	63
grepl	5	0.16129032258064516	590088.tsv	31
tvrdik	5	0.15151515151515152	533980.tsv	33
masl	5	0.1388888888888889	579602.tsv	36
orsag	5	0.058823529411764705	544566.tsv	85
pospisilik	5	0.08771929824561403	588610.tsv	57
dvorak	5	0.11627906976744186	587931.tsv	43
vancl	5	0.1111111111111111	577553.tsv	45
janat	5	0.09433962264150944	577294.tsv	53
skop	5	0.15151515151515152	576336.tsv	33
urbanek	5	0.2777777777777778	587907.tsv	18
vales	5	0.1111111111111111	573809.tsv	45
backovsk	5	0.15625	572551.tsv	32
troup	5	0.08333333333333333	545571.tsv	60
novotn	5	0.05555555555555555	572411.tsv	90
pitr	5	0.21739130434782608	571563.tsv	23
burian	5	0.1111111111111111	587541.tsv	45
semberk	5	0.1111111111111111	545996.tsv	45
dvorak	5	0.05555555555555555	570451.tsv	90
chalupnik	5	0.14285714285714285	569704.tsv	35
valihrach	5	0.08771929824561403	586692.tsv	57
dan	5	0.052083333333333336	569593.tsv	96
furst	5	0.29411764705882354	546712.tsv	17
sul	5	0.09090909090909091	546941.tsv	55
vintrlik	5	0.07246376811594203	584592.tsv	69
konecn	5	0.09259259259259259	586340.tsv	54
vavreck	5	0.18518518518518517	568368.tsv	27
brezin	5	0.05555555555555555	525588.tsv	90
sikor	5	0.1388888888888889	507458.tsv	36
tum	5	0.09090909090909091	565997.tsv	55
fial	5	0.054945054945054944	565318.tsv	91
spisiak	5	0.05555555555555555	594873.tsv	90
horak	5	0.07575757575757576	563706.tsv	66
krejc	5	0.1388888888888889	549916.tsv	36
